Restaurant Name,City,Place Name,Cuisine ,Dining Rating,Delivery Rating,Overall Rating,Dining Votes,Delivery Votes,Average Price,Menu Items,Features
Goofy's Pizza,Jaipur,Raja Park,Pizza,3.6,3.6,3.6,0,94,207.6984126984127,63,goofy's pizza pizza jaipur raja park
Govind Dosa,Hyderabad,Charminar,South Indian,4.4,3.5,3.95,997,0,91.42857142857143,56,govind dosa south indian hyderabad charminar
Goyaan,Goa,Porvorim,Fast Food,3.911782786885246,3.911782786885246,3.911782786885246,0,0,165.31914893617022,47,goyaan fast food goa porvorim
Grameen Kulfi,Kochi,Panampilly Nagar,Desserts,4.3,4.3,4.3,0,88,102.79222222222222,27,grameen kulfi desserts kochi panampilly nagar
Grand Bawarchi Restaurant,Hyderabad,Falaknuma,Kebab,4.2,4.2,4.2,423,0,344.2857142857143,63,grand bawarchi restaurant kebab hyderabad falaknuma
Grand Hotel,Hyderabad,Abids,Beverages,4.2,4.1,4.15,0,0,201.40883977900552,181,grand hotel beverages hyderabad abids
Great Indian Khichdi by EatFit,Chennai,Aminijikarai,Beverages,4.0,4.0,4.0,0,676,174.55223880597015,67,great indian khichdi by eatfit beverages chennai aminijikarai
Grill A Delics,Chennai,Washermenpet,Beverages,4.1,3.8,3.9499999999999997,142,303,253.67175572519085,131,grill a delics beverages chennai washermenpet
Grillin' It,Goa,Porvorim,Biryani,3.9,3.5,3.7,10,45,283.2716049382716,81,grillin' it biryani goa porvorim
Gusto Pizza,Chennai,Mylapore,Fast Food,3.8,3.8,3.8,0,77,262.61224489795916,98,gusto pizza fast food chennai mylapore
HRX by EatFit,Mumbai,Lower Parel,Salad,4.3,4.3,4.3,0,144,281.1363636363636,66,hrx by eatfit salad mumbai lower parel
Haji Ebrahim,Kochi,Kaloor,Juices,3.8,4.1,3.9499999999999997,49,0,108.0,45,haji ebrahim juices kochi kaloor
Haka,Mumbai,Khar,Sichuan,3.9,3.9,3.9,0,804,307.70875,72,haka sichuan mumbai khar
Harishankar Veg Restro,Jaipur,Raja Park,Beverages,3.8,4.1,3.9499999999999997,273,0,189.31330472103005,233,harishankar veg restro beverages jaipur raja park
Hello Burger's,Mumbai,Kurla,Sichuan,4.0,4.0,4.0,0,83,109.27472527472527,91,hello burger's sichuan mumbai kurla
Hil Pizza,Jaipur,C Scheme,Beverages,3.1,3.9,3.5,5,479,234.3125,48,hil pizza beverages jaipur c scheme
Hot N Spicy,Mumbai,Worli,Sichuan,3.6,3.6,3.6,0,0,129.21875,64,hot n spicy sichuan mumbai worli
Hotel Nayaab,Hyderabad,Charminar,Beverages,4.3,4.0,4.15,540,0,270.8301886792453,53,hotel nayaab beverages hyderabad charminar
Hotel Paramount,Chennai,Kilpauk,Beverages,4.1,4.2,4.15,975,0,209.8318181818182,220,hotel paramount beverages chennai kilpauk
Hotel Rumaan,Hyderabad,Charminar,North Indian,4.1,4.1,4.1,0,115,197.77551020408163,49,hotel rumaan north indian hyderabad charminar
Hotel Sennthur,Chennai,Anna Salai,Beverages,3.8,4.2,4.0,171,0,135.94535519125682,183,hotel sennthur beverages chennai anna salai
Hotel Shadab,Hyderabad,Ghansi Bazaar,Beverages,4.3,4.1,4.199999999999999,0,0,291.61764705882354,68,hotel shadab beverages hyderabad ghansi bazaar
Hotel Shubham Prestige,Hyderabad,Saroor Nagar,Beverages,3.5,3.8,3.65,57,0,224.28301886792454,212,hotel shubham prestige beverages hyderabad saroor nagar
Hotel Swagath Grand,Hyderabad,Meerpet,Beverages,4.2,4.0,4.1,495,0,224.6206896551724,203,hotel swagath grand beverages hyderabad meerpet
Hotel Topform,Kochi,Thopumpady,Shake,3.9,3.9,3.9,0,0,228.16551724137932,145,hotel topform shake kochi thopumpady
Hoy Punjab,Kochi,Kacheripady,Beverages,4.3,3.7,4.0,163,596,462.25315789473683,114,hoy punjab beverages kochi kacheripady
Hundo Pizza,Mumbai,Khar,American,4.1,4.1,4.1,0,0,301.0975609756098,41,hundo pizza american mumbai khar
Hyderabadi Laziz,Pune,Karve Nagar,Hyderabadi,3.8,3.5,3.65,74,0,367.4166666666667,48,hyderabadi laziz hyderabadi pune karve nagar
Ibrahim Biriyani,Chennai,Kilpauk,Kebab,3.8,4.0,3.9,41,0,105.0,6,ibrahim biriyani kebab chennai kilpauk
Imperial Bakery - Since 1955,Pune,East Street,Bakery,3.911782786885246,3.911782786885246,3.911782786885246,0,3,51.3472,25,imperial bakery - since 1955 bakery pune east street
Indira Darshini,Hyderabad,Khairatabad,North Indian,4.1,4.0,4.05,131,0,120.3953488372093,86,indira darshini north indian hyderabad khairatabad
Iqbal Cafe,Hyderabad,Charminar,Biryani,3.1,4.3,3.7,12,0,117.90322580645162,31,iqbal cafe biryani hyderabad charminar
Istanbul,Hyderabad,Malakpet,Wraps,4.3,4.3,4.3,236,0,165.0,29,istanbul wraps hyderabad malakpet
Italian Bay,Mumbai,Bandra Kurla Complex,Beverages,4.2,4.2,4.2,0,911,312.1111111111111,117,italian bay beverages mumbai bandra kurla complex
Italian Pizzeria,Hyderabad,Mehdipatnam,Shake,4.0,3.5,3.75,325,0,177.12962962962962,162,italian pizzeria shake hyderabad mehdipatnam
JBT Jaipur Burger Truck,Jaipur,Vaishali Nagar,Fast Food,3.9,4.2,4.05,15,0,200.92857142857142,84,jbt jaipur burger truck fast food jaipur vaishali nagar
JMD Bakery & Fast Food,Jaipur,Durgapura,Beverages,3.6,4.2,3.9000000000000004,8,0,130.2972972972973,148,jmd bakery & fast food beverages jaipur durgapura
Jai Bhavani Snacks Center,Pune,Katraj,Beverages,3.5,4.3,3.9,5,0,40.5,10,jai bhavani snacks center beverages pune katraj
Jal Mahal Ice Cream Parlour,Jaipur,MI Road,Beverages,4.1,4.4,4.25,848,0,197.34234234234233,222,jal mahal ice cream parlour beverages jaipur mi road
Jango'z,Chennai,Royapuram,Fast Food,3.9,3.6,3.75,7,674,374.2363095238095,84,jango'z fast food chennai royapuram
Jhakas Family Restaurant,Mumbai,Wadala,Sichuan,3.7,3.7,3.7,0,668,353.43145161290323,248,jhakas family restaurant sichuan mumbai wadala
Jimis Burger,Mumbai,Pali Hill,Beverages,4.3,4.2,4.25,529,859,258.025,80,jimis burger beverages mumbai pali hill
Joshis Masala Mantra,Goa,Panaji,Sichuan,3.9,3.9,3.9,0,132,232.2549019607843,153,joshis masala mantra sichuan goa panaji
Jubilee Restaurant,Goa,Panaji,Chinese,3.911782786885246,3.911782786885246,3.911782786885246,0,0,133.88888888888889,81,jubilee restaurant chinese goa panaji
Jugos,Kochi,Palluruthy,Beverages,4.0,4.0,4.0,2,477,133.15068493150685,73,jugos beverages kochi palluruthy
Juicy,Kochi,Thopumpady,Desserts,4.0,4.3,4.15,0,269,112.1864406779661,59,juicy desserts kochi thopumpady
Junior Kuppanna,Chennai,Nungambakkam,Beverages,3.4,3.6,3.5,108,0,350.2686567164179,134,junior kuppanna beverages chennai nungambakkam
Juno's Pizza - Baking Fresh Since 1974,Mumbai,Lower Parel,Beverages,4.2,3.8,4.0,0,0,284.125,96,juno's pizza - baking fresh since 1974 beverages mumbai lower parel
Just A Sec,Jaipur,Mansarovar,North Indian,3.6,3.6,3.6,0,512,153.8490566037736,53,just a sec north indian jaipur mansarovar
KFC,Bangalore,Brigade Road,"Beverages, Fast Food",4.0,3.8,3.85,159,660,350.2740476190476,168,"kfc beverages, fast food bangalore brigade road"
KGN Xprs,Pune,Aundh,Sichuan,3.9,3.9,3.9,0,940,237.3875,80,kgn xprs sichuan pune aundh
KMS Hakkim Kalyana Biriyani,Chennai,Nungambakkam,Beverages,2.9,3.7,3.3,17,819,307.06810035842295,279,kms hakkim kalyana biriyani beverages chennai nungambakkam
KS Bakers,Hyderabad,Narayanguda,Burger,3.2,4.0,3.6,10,0,226.87387387387386,111,ks bakers burger hyderabad narayanguda
Kanha,Jaipur,C Scheme,Desserts,3.8,4.2,4.0,872,0,165.0986574074074,432,kanha desserts jaipur c scheme
Kanji,Jaipur,Sindhi Camp,South Indian,3.8,4.3,4.05,435,0,213.87048192771084,166,kanji south indian jaipur sindhi camp
Kannu Ki Chai,Pune,FC Road,Coffee,3.5,4.2,3.85,11,541,157.79616279069768,86,kannu ki chai coffee pune fc road
Karachi Bakery,Hyderabad,Nampally,Fast Food,3.8,3.8,3.8,0,332,288.79072,125,karachi bakery fast food hyderabad nampally
Karachi Sweet Mart,Pune,Camp Area,Fast Food,3.9,3.9,3.9,0,730,389.44565217391306,184,karachi sweet mart fast food pune camp area
Keifer,Chennai,Purasavakkam,Shake,3.7,3.7,3.7,0,140,154.3706896551724,232,keifer shake chennai purasavakkam
Keventers - Milkshakes & Desserts,Pune,The Pavillion,Desserts,3.4,4.3,3.8499999999999996,22,910,219.80024271844658,206,keventers - milkshakes & desserts desserts pune the pavillion
Khalids Biriyani,Chennai,T. Nagar,Chinese,3.5,3.8,3.65,31,0,522.8314545454546,110,khalids biriyani chinese chennai t. nagar
Khandelwal Dhaba Purana Wala,Jaipur,Sikar Road,South Indian,3.9,4.0,3.95,353,0,179.17391304347825,92,khandelwal dhaba purana wala south indian jaipur sikar road
Kim Ling Chinese Restaurant,Chennai,Anna Nagar East,Beverages,4.3,4.3,4.3,539,0,294.5740740740741,270,kim ling chinese restaurant beverages chennai anna nagar east
King Of Burger,Pune,Sinhgad Road,Beverages,3.7,3.7,3.7,0,0,158.0,61,king of burger beverages pune sinhgad road
Kingdoms Pizza,Jaipur,Amer Road,Fast Food,3.5,3.7,3.6,8,592,180.75,100,kingdoms pizza fast food jaipur amer road
Kritunga,Hyderabad,Himayath Nagar,Beverages,3.1,3.7,3.4000000000000004,31,0,269.0,10,kritunga beverages hyderabad himayath nagar
Kunafa House,Chennai,Nungambakkam,Desserts,3.9,4.2,4.05,62,746,345.5882352941176,17,kunafa house desserts chennai nungambakkam
Kunafa World,Kochi,Panampilly Nagar,Desserts,3.8,4.4,4.1,11,751,448.57142857142856,35,kunafa world desserts kochi panampilly nagar
Kwality Walls Frozen Dessert and Ice Cream Shop,Hyderabad,Kacheguda,Desserts,4.5,4.5,4.5,0,553,165.6086956521739,92,kwality walls frozen dessert and ice cream shop desserts hyderabad kacheguda
La Pino'z Pizza,Hyderabad,Himayath Nagar,Fast Food,3.9,4.0,3.95,26,505,210.78367346938776,245,la pino'z pizza fast food hyderabad himayath nagar
Lassi Shop,Hyderabad,Malakpet,Desserts,3.4,4.1,3.75,14,662,109.5891472868217,129,lassi shop desserts hyderabad malakpet
Late Night Biryani,Hyderabad,Saroor Nagar,North Indian,3.4,3.4,3.4,0,0,203.77551020408163,49,late night biryani north indian hyderabad saroor nagar
Laziz Chicken Food Restaurant,Jaipur,Jhotwara,Chinese,4.0,3.8,3.9,335,0,204.88571428571427,70,laziz chicken food restaurant chinese jaipur jhotwara
LeanCrust Pizza - ThinCrust Experts,Mumbai,Sion,Beverages,4.5,4.5,4.5,0,238,408.02912621359224,103,leancrust pizza - thincrust experts beverages mumbai sion
Leon's Burgers & Wings,Hyderabad,Himayath Nagar,Fast Food,3.3,4.2,3.75,20,0,211.3568686868687,99,leon's burgers & wings fast food hyderabad himayath nagar
Let's Eat Bakers,Kochi,Panampilly Nagar,Sandwich,4.4,4.4,4.4,0,0,185.45112781954887,133,let's eat bakers sandwich kochi panampilly nagar
Lina's Brickoven Newyork Pizzeria,Chennai,T. Nagar,Fast Food,4.4,4.1,4.25,72,968,561.8161764705883,136,lina's brickoven newyork pizzeria fast food chennai t. nagar
Little Hut,Chennai,Anna Nagar West,BBQ,3.6,4.0,3.8,177,570,237.88938053097345,226,little hut bbq chennai anna nagar west
Little India,Chennai,Alwarpet,Biryani,4.0,4.2,4.1,32,340,225.8294930875576,217,little india biryani chennai alwarpet
Little Italy,Chennai,Nungambakkam,Pizza,4.4,3.8,4.1,349,0,446.2621359223301,206,little italy pizza chennai nungambakkam
Liza Restaurant,Chennai,Vepery,Beverages,3.9,4.1,4.0,141,0,202.2005277044855,379,liza restaurant beverages chennai vepery
Louis Burger,Hyderabad,Banjara Hills,Fast Food,4.1,4.1,4.1,0,774,348.4189189189189,74,louis burger fast food hyderabad banjara hills
Lucky Multicuisine Restaurant,Hyderabad,Somajiguda,Mandi,4.2,3.8,4.0,692,0,224.57983193277312,238,lucky multicuisine restaurant mandi hyderabad somajiguda
Lucky Restaurant,Hyderabad,Saroor Nagar,Beverages,4.1,4.0,4.05,0,0,229.82456140350877,114,lucky restaurant beverages hyderabad saroor nagar
MH 12 Pav Bhaji,Pune,Rasta Peth,Shake,3.9,4.1,4.0,262,0,185.71466666666666,45,mh 12 pav bhaji shake pune rasta peth
MOJO Pizza - 2X Toppings,Pune,Bund Garden Road,Beverages,4.3,4.3,4.3,0,0,345.0731707317073,123,mojo pizza - 2x toppings beverages pune bund garden road
MRCB,Hyderabad,Dilsukhnagar,Mughlai,3.2,3.2,3.2,0,129,133.14285714285714,49,mrcb mughlai hyderabad dilsukhnagar
MS Bakery,Hyderabad,Attapur,Bakery,4.1,4.1,4.1,0,0,159.9375,96,ms bakery bakery hyderabad attapur
MS Bakery & Sweets,Hyderabad,Falaknuma,Pizza,4.2,4.2,4.2,0,0,177.71296296296296,108,ms bakery & sweets pizza hyderabad falaknuma
MS Mandi & Shawarma,Hyderabad,Charminar,Beverages,3.8,3.9,3.8499999999999996,33,0,234.484375,128,ms mandi & shawarma beverages hyderabad charminar
Madheena Fried Chicken,Kochi,Elamakkara,Biryani,3.8,3.8,3.8,0,203,451.8,10,madheena fried chicken biryani kochi elamakkara
Madurai Pandian Mess,Chennai,Royapettah,BBQ,3.3,4.0,3.65,166,0,145.679012345679,81,madurai pandian mess bbq chennai royapettah
Madurai Sri Thevar Hotel,Chennai,Parrys,South Indian,3.8,3.7,3.75,112,0,164.68354430379748,79,madurai sri thevar hotel south indian chennai parrys
Mainland China,Mumbai,Lower Parel,Sichuan,4.1,4.1,4.1,0,643,556.8029931972789,147,mainland china sichuan mumbai lower parel
Maiz Mexican Kitchen,Mumbai,Lower Parel,Salad,4.0,4.0,4.0,0,0,286.6823529411765,85,maiz mexican kitchen salad mumbai lower parel
Manchatti Restaurant,Kochi,Ernakulam City,Desserts,3.0,3.0,3.0,4,279,292.0952380952381,63,manchatti restaurant desserts kochi ernakulam city
Mandi Town,Hyderabad,Khairatabad,Kebab,3.4,3.8,3.5999999999999996,5,535,638.75,24,mandi town kebab hyderabad khairatabad
Marhaba Shawarma & Wraps,Hyderabad,Himayath Nagar,Shake,3.7,4.0,3.85,26,587,195.84375,32,marhaba shawarma & wraps shake hyderabad himayath nagar
Marky Momos,Jaipur,C Scheme,Beverages,3.1,4.1,3.5999999999999996,16,0,505.47386454183265,251,marky momos beverages jaipur c scheme
Marrakesh,Pune,FC Road,Beverages,3.8,3.9,3.8499999999999996,0,0,230.13432835820896,134,marrakesh beverages pune fc road
Mataam Al Yamani,Hyderabad,Lakdikapul,Mandi,3.7,3.7,3.7,144,0,304.2856756756757,37,mataam al yamani mandi hyderabad lakdikapul
Mathsya,Chennai,Egmore,Shake,4.2,4.1,4.15,0,0,179.5082644628099,242,mathsya shake chennai egmore
Mayur Pan House,Hyderabad,Abids,Ice Cream,4.3,3.9,4.1,564,0,127.04375,160,mayur pan house ice cream hyderabad abids
McDonald's,Hyderabad,MPM Mall,"Beverages, Fast Food",3.5,3.9,3.65,214,0,283.4660859728507,442,"mcdonald's beverages, fast food hyderabad mpm mall"
Meal Bowl,Mumbai,Lower Parel,Sichuan,4.0,4.0,4.0,0,0,229.11206896551724,116,meal bowl sichuan mumbai lower parel
Mealful Rolls - India's Biggest Rolls,Mumbai,Wadala,Beverages,4.0,4.0,4.0,0,556,230.27272727272728,55,mealful rolls - india's biggest rolls beverages mumbai wadala
Meat And Eat,Chennai,Royapettah,"Beverages, Desserts",3.4,3.7,3.5,77,0,242.17905405405406,296,"meat and eat beverages, desserts chennai royapettah"
Meera's Kitchen,Kochi,MG Road,Biryani,3.1,3.2,3.1500000000000004,9,0,228.3139534883721,86,meera's kitchen biryani kochi mg road
Meghana Foods,Bangalore,Residency Road,Seafood,4.3,4.4,4.35,0,0,270.9695689655172,116,meghana foods seafood bangalore residency road
Mehfil,Hyderabad,Narayanguda,North Indian,4.1,4.0,4.05,0,0,229.2012987012987,154,mehfil north indian hyderabad narayanguda
Meltyway,Kochi,Mattancherry,Fast Food,4.2,3.5,3.85,68,657,157.72027972027973,143,meltyway fast food kochi mattancherry
Mini Punjabi,Jaipur,Sodala,Mughlai,4.0,3.7,3.85,69,0,143.67796610169492,59,mini punjabi mughlai jaipur sodala
Mohammedia Shawarma,Hyderabad,Saroor Nagar,Fast Food,3.4,3.8,3.5999999999999996,2,18,155.71428571428572,7,mohammedia shawarma fast food hyderabad saroor nagar
Momo Guy,Mumbai,Worli,Momos,3.4,3.4,3.4,0,535,187.57142857142858,133,momo guy momos mumbai worli
Monginis,Pune,Sadashiv Peth,Bakery,4.4,4.4,4.4,0,478,506.6666666666667,15,monginis bakery pune sadashiv peth
Mother's Kitchen,Pune,Kothrud,Biryani,4.1,3.9,4.0,93,0,274.43514644351467,239,mother's kitchen biryani pune kothrud
Mr. Burger,Chennai,Parrys,Fast Food,3.7,3.9,3.8,0,137,188.67605633802816,71,mr. burger fast food chennai parrys
Mughal Restaurant,Hyderabad,Lakdikapul,Desserts,3.8,4.1,3.9499999999999997,258,0,184.66666666666666,99,mughal restaurant desserts hyderabad lakdikapul
Mughlai Affair,Mumbai,Chembur,Rolls,3.6,3.6,3.6,0,0,202.43027888446215,251,mughlai affair rolls mumbai chembur
Mum Mai,Goa,Panaji,Fast Food,4.1,4.1,4.1,0,131,167.0,40,mum mai fast food goa panaji
NH1 Bowls - Highway To North,Pune,Dhole Patil Road,Beverages,4.3,4.3,4.3,0,727,237.6,80,nh1 bowls - highway to north beverages pune dhole patil road
NIC Ice Creams,Hyderabad,Narayanguda,Desserts,4.5,4.5,4.5,0,0,185.86327433628318,113,nic ice creams desserts hyderabad narayanguda
NOTO - Healthy Ice Cream,Pune,Kothrud,Desserts,4.4,4.4,4.4,0,203,221.25,52,noto - healthy ice cream desserts pune kothrud
NR - Navaratna Udupi Pure Veg,Goa,Porvorim,South Indian,3.8,3.8,3.8,2,418,180.03187250996015,251,nr - navaratna udupi pure veg south indian goa porvorim
Naadbramha Idli,Mumbai,Kurla,South Indian,3.8,4.0,3.9,0,0,86.0,10,naadbramha idli south indian mumbai kurla
Namaste Chai,Goa,Porvorim,Ice Cream,3.9,3.9,3.9,0,590,75.89322916666667,96,namaste chai ice cream goa porvorim
Natural Ice Cream,Hyderabad,Himayath Nagar,Desserts,4.5,4.5,4.5,0,368,142.84354838709677,31,natural ice cream desserts hyderabad himayath nagar
Navrang Restaurant,Chennai,Royapettah,Sichuan,3.8,3.9,3.8499999999999996,122,0,163.1584699453552,183,navrang restaurant sichuan chennai royapettah
Nazeer Juice Center,Hyderabad,Charminar,Shake,2.9,4.2,3.55,5,0,143.52777777777777,36,nazeer juice center shake hyderabad charminar
Nellikka Cloud Kitchen,Kochi,Kaloor,Kerala,4.3,4.3,4.3,0,0,65.15384615384616,13,nellikka cloud kitchen kerala kochi kaloor
Nellikka Restaurant,Kochi,Kadavanthra,Kerala,3.6,4.4,4.0,2,0,70.75,16,nellikka restaurant kerala kochi kadavanthra
New Bombay Sandwich Burger & Pizza,Pune,Vishrantwadi,Fast Food,3.6,3.6,3.6,0,479,100.5,52,new bombay sandwich burger & pizza fast food pune vishrantwadi
New Grand Restaurant & Bakery,Hyderabad,Begum Bazaar,Bakery,4.0,4.0,4.0,129,0,130.37662337662337,231,new grand restaurant & bakery bakery hyderabad begum bazaar
New King Safina Hotel,Hyderabad,Charminar,North Indian,3.8,4.3,4.05,146,0,204.68421052631578,38,new king safina hotel north indian hyderabad charminar
New Pankaj - Sandwich & Pani Puri,Mumbai,Matunga East,Beverages,4.2,4.2,4.2,0,0,192.18103448275863,116,new pankaj - sandwich & pani puri beverages mumbai matunga east
New Santosh Dhaba,Hyderabad,Begum Bazaar,Beverages,4.2,3.7,3.95,209,0,176.6103896103896,154,new santosh dhaba beverages hyderabad begum bazaar
Nimrah Restaurant,Hyderabad,Nampally,Desserts,3.9,4.1,4.0,72,857,247.0679012345679,162,nimrah restaurant desserts hyderabad nampally
Nino Burgers,Mumbai,Dadar West,Fast Food,4.0,4.0,4.0,0,296,329.74468085106383,47,nino burgers fast food mumbai dadar west
Nxtdoor,Chennai,Purasavakkam,Sichuan,3.9,3.9,3.9,0,0,168.28803191489362,188,nxtdoor sichuan chennai purasavakkam
Ohh Taco,Jaipur,Gopalpura,Shake,3.3,3.3,3.3,0,37,139.47154471544715,123,ohh taco shake jaipur gopalpura
One By Two,Mumbai,Prabhadevi,Momos,4.0,4.0,4.0,0,0,227.85245901639345,61,one by two momos mumbai prabhadevi
Onesta,Hyderabad,Banjara Hills,Beverages,4.3,3.6,3.95,0,197,237.4344262295082,305,onesta beverages hyderabad banjara hills
Ovenfresh,Mumbai,Dadar Shivaji Park,Beverages,4.4,4.3,4.35,0,0,295.5173029045643,241,ovenfresh beverages mumbai dadar shivaji park
Ovenstory Pizza,Hyderabad,Abids,Fast Food,4.1,4.1,4.1,0,0,402.9832484076433,157,ovenstory pizza fast food hyderabad abids
Oyalo Pizza,Chennai,Triplicane,Desserts,3.6,3.6,3.6,0,520,417.65675675675675,37,oyalo pizza desserts chennai triplicane
Oye Kiddan,Mumbai,Matunga East,Desserts,3.4,3.4,3.4,0,0,152.89763779527559,127,oye kiddan desserts mumbai matunga east
P60,Kochi,Panampilly Nagar,Desserts,4.3,4.0,4.15,486,0,215.36666666666667,30,p60 desserts kochi panampilly nagar
Pai Brothers 36 Varities Of Dosa,Kochi,Kadavanthra,Kerala,3.7,4.0,3.85,138,0,141.09756097560975,164,pai brothers 36 varities of dosa kerala kochi kadavanthra
Pai Brothers Fast Food,Kochi,MG Road,Street Food,4.1,4.2,4.15,528,0,144.61988304093566,171,pai brothers fast food street food kochi mg road
Pakiza Restaurant,Goa,Panaji,North Indian,3.8,3.7,3.75,19,204,162.82926829268294,41,pakiza restaurant north indian goa panaji
Pandit Pav Bhaji,Jaipur,C Scheme,South Indian,3.6,3.6,3.6,137,0,106.66666666666667,21,pandit pav bhaji south indian jaipur c scheme
Papadams Blue,Hyderabad,Kothapet,Desserts,4.0,3.9,3.95,625,0,299.62626262626264,198,papadams blue desserts hyderabad kothapet
Paputty's Valsa Cafe,Kochi,Kacheripady,Chinese,4.0,4.0,4.0,62,0,130.40740740740742,27,paputty's valsa cafe chinese kochi kacheripady
Paradise Biryani,Hyderabad,Charminar Area,Desserts,3.7,3.5,3.6,46,0,383.0357142857143,28,paradise biryani desserts hyderabad charminar area
Patil Misal,Goa,Porvorim,Maharashtrian,3.7,3.5,3.6,24,129,46.84615384615385,13,patil misal maharashtrian goa porvorim
Payasam Kada - Taste Trees,Kochi,Palarivattom,Desserts,3.8,4.1,3.9499999999999997,35,0,166.66666666666666,3,payasam kada - taste trees desserts kochi palarivattom
Peshawar,Hyderabad,Malakpet,Chinese,3.1,4.1,3.5999999999999996,4,540,334.76056338028167,71,peshawar chinese hyderabad malakpet
Piazza Pizza By Little Italy,Pune,Camp Area,Fast Food,3.7,3.4,3.55,26,163,327.88421052631577,95,piazza pizza by little italy fast food pune camp area
Pista House,Hyderabad,Charminar Area,Beverages,3.7,4.1,3.9,40,0,341.6707317073171,82,pista house beverages hyderabad charminar area
Pista House - Premium Lounge,Hyderabad,Charminar Area,Beverages,3.1,4.1,3.5999999999999996,16,0,265.29824561403507,171,pista house - premium lounge beverages hyderabad charminar area
Pista House Bakery,Hyderabad,Charminar,Beverages,4.3,4.3,4.3,0,0,560.0165289256198,121,pista house bakery beverages hyderabad charminar
Pitaworks,Kochi,Kacheripady,Fast Food,3.6,4.1,3.8499999999999996,12,471,175.0,11,pitaworks fast food kochi kacheripady
Pizza And Burger King,Jaipur,Brahmpuri,Beverages,3.9,3.7,3.8,4,839,211.66666666666666,96,pizza and burger king beverages jaipur brahmpuri
Pizza Baker's,Jaipur,Raja Park,Pizza,4.2,4.0,4.1,29,0,242.82910447761196,67,pizza baker's pizza jaipur raja park
Pizza Bar,Jaipur,Sodala,Fast Food,3.5,3.9,3.7,8,607,252.93509090909092,55,pizza bar fast food jaipur sodala
Pizza Bites,Pune,Wadgaon Sheri,"Beverages, Fast Food",3.7,4.3,4.0,15,231,259.48344000000003,125,"pizza bites beverages, fast food pune wadgaon sheri"
Pizza Hut,Hyderabad,Kacheguda,Beverages,3.5,3.9,3.65,271,0,300.49894117647057,255,pizza hut beverages hyderabad kacheguda
Pizza Ricotta,Kochi,Thopumpady,Fast Food,2.5,2.5,2.5,0,7,301.8421052631579,19,pizza ricotta fast food kochi thopumpady
Pizza Unlimited,Jaipur,Pink City,Beverages,3.0,3.6,3.3,14,0,142.23809523809524,84,pizza unlimited beverages jaipur pink city
PizzaExpress,Mumbai,Wadala,Beverages,3.911782786885246,3.911782786885246,3.911782786885246,0,0,536.7484536082474,97,pizzaexpress beverages mumbai wadala
Pizzaman,Kochi,Edappally,Beverages,2.8,4.0,3.4,7,479,344.61842105263156,76,pizzaman beverages kochi edappally
Platform 65,Hyderabad,Dilsukhnagar,Beverages,4.0,4.0,4.0,924,0,286.6545454545454,220,platform 65 beverages hyderabad dilsukhnagar
Poi & Rolls Adda,Goa,Panaji,Rolls,3.911782786885246,3.911782786885246,3.911782786885246,0,11,171.95454545454547,22,poi & rolls adda rolls goa panaji
Pokket Cafe,Pune,Karve Nagar,Desserts,3.4,3.5,3.45,38,139,153.95209580838323,167,pokket cafe desserts pune karve nagar
Ponnusamy Hotel,Chennai,Egmore,Beverages,3.4,3.7,3.55,127,0,237.6241610738255,149,ponnusamy hotel beverages chennai egmore
Porkeato De Portico,Kochi,Palarivattom,South Indian,3.6,4.0,3.8,11,321,238.92857142857142,42,porkeato de portico south indian kochi palarivattom
Potful - Claypot Biryanis,Chennai,Anna Nagar West,North Indian,4.2,4.2,4.2,0,0,502.741935483871,62,potful - claypot biryanis north indian chennai anna nagar west
Potoba,Mumbai,Dadar West,Beverages,3.9,3.9,3.9,428,0,189.83561643835617,146,potoba beverages mumbai dadar west
Punjabi Tadka,Jaipur,Malviya Nagar,Mughlai,3.8,3.8,3.8,196,0,200.61111111111111,126,punjabi tadka mughlai jaipur malviya nagar
Quick Snacks,Kochi,Kadavanthra,Beverages,3.7,3.4,3.55,45,0,128.83050847457628,59,quick snacks beverages kochi kadavanthra
RJ Chai Wala,Jaipur,Jhotwara,Street Food,4.1,4.1,4.1,0,267,49.51282051282051,78,rj chai wala street food jaipur jhotwara
RK Pure Veg,Pune,Vishrantwadi,Sichuan,3.7,3.8,3.75,208,0,195.78980891719746,314,rk pure veg sichuan pune vishrantwadi
RR62 - Cafe & Kitchen,Jaipur,Pink City,Beverages,4.2,3.8,4.0,177,0,206.16239316239316,117,rr62 - cafe & kitchen beverages jaipur pink city
Raj Restaurant,Mumbai,Chembur,Biryani,3.8,4.1,3.9499999999999997,345,0,354.32761904761907,525,raj restaurant biryani mumbai chembur
Raw Squeezed,Kochi,Vyttila,Salad,4.4,4.4,4.4,3,0,207.24719101123594,89,raw squeezed salad kochi vyttila
Rawat Mishthan Bhandar,Jaipur,Sindhi Camp,Street Food,4.2,4.2,4.2,0,213,180.6480686695279,233,rawat mishthan bhandar street food jaipur sindhi camp
Red Bucket Biryani,Hyderabad,Saroor Nagar,Biryani,4.1,4.1,4.1,0,100,1119.1818181818182,55,red bucket biryani biryani hyderabad saroor nagar
Redaan Restaurant,Hyderabad,Charminar,North Indian,4.3,4.3,4.3,3,743,221.0990099009901,101,redaan restaurant north indian hyderabad charminar
